,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE_x,VOLUME_x,inputClose_x,Averageclose_x,Averagevolume_x,CLOSE_y,VOLUME_y,inputClose_y,Averageclose_y,Averagevolume_y,CLOSE,VOLUME,inputClose,Averageclose,Averagevolume
2013-02-19,145.7135,237856450000.0,145.7135,145.54326,90639444000.0,2685.606,8062643100.0,2685.606,2746.1032,8145034300.0,3561.357,4842099100.0,3561.357,3579.9548000000004,4249242220.0,2829.993,12904742200.0,2829.993,2882.4956000000006,12394276520.0,1981.074,3131288500.0,1981.074,2033.0284,3547896040.0,819.709,961950088.0000001,819.709,814.9725999999997,859219307.6,906.72,34692.88,906.72,906.4900000000001,27968.051999999985,2317.96,28764.48,2317.96,2331.2580000000003,24794.196,1509.4,19159.28,1509.4,1526.0920000000006,18185.52,889.01,1203.78,889.01,911.5780000000001,1335.576,1505.0822,248.5,1505.0822,1536.5686800000005,265.68399999999997
2013-02-20,145.7944,256356320000.0,145.7944,145.6352,141532576000.0,2702.635,7001937700.0,2702.635,2731.4613999999992,7889836420.0,3635.375,4425230800.0,3635.375,3598.1528000000008,4288114280.0,2857.326,11427168500.0,2857.326,2873.9314000000004,12177950700.0,1978.303,2939731200.0,1978.303,2012.9901999999997,3431799760.0,850.863,1078460880.0,850.863,826.8925999999998,931358867.8,908.24,37241.74,908.24,905.5760000000002,29068.295999999984,2323.96,31510.58,2323.96,2327.366,25577.0,1503.56,20975.84,1503.56,1518.8420000000006,17806.928,882.93,1942.16,882.93,902.7160000000001,1492.7040000000002,1501.613,239.12,1501.613,1525.7414800000006,263.628
2013-02-21,145.9006,250142040000.0,145.9006,145.72470000000004,189175668000.0,2610.549,10065798400.0,2610.549,2701.5971999999992,8103433260.0,3560.317,5441162500.0,3560.317,3598.6828,4602250100.0,2768.878,15506960900.0,2768.878,2849.786400000001,12705683360.0,1897.896,4490004000.0,1897.896,1982.8544000000002,3459871280.0,839.298,1272352277.0,839.298,833.6349999999996,1042749374.6,905.77,59112.24,905.77,905.5800000000003,35754.44399999998,2284.16,48908.04,2284.16,2316.582,30393.424,1468.66,26616.04,1468.66,1505.4040000000005,18805.235999999997,856.44,3324.2,856.44,888.2520000000001,1897.6520000000005,1464.5029,670.42,1464.5029,1506.6706000000006,355.892
2013-02-22,145.8991,249280230000.0,145.8991,145.80056000000002,238790808000.0,2596.604,6020485200.0,2596.604,2666.5729999999994,7758937420.0,3548.358,4158543800.0,3548.358,3586.6366000000003,4675392800.0,2755.375,10179028900.0,2755.375,2819.157600000001,12434330180.0,1883.475,2556522100.0,1883.475,1951.065,3282683540.0,838.763,958022200.0,838.763,836.7819999999996,1064088849.2,913.25,86300.8,913.25,907.0540000000003,48516.499999999985,2280.68,27900.06,2280.68,2304.438,32368.415999999997,1459.7,18207.32,1459.7,1490.8140000000008,19783.46,864.9,1857.2,864.9,876.39,2032.2680000000007,1480.3877,338.94,1480.3877,1491.3609800000004,387.1
2013-02-25,145.9002,270682700000.0,145.9002,145.84156000000002,252863548000.0,2604.96,5316194200.0,2604.96,2640.0707999999995,7293411720.0,3587.587,3767710200.0,3587.587,3578.5987999999998,4526949280.0,2769.318,9083904400.0,2769.318,2796.178000000001,11820360980.0,1890.765,2227133500.0,1890.765,1926.3026000000002,3068935860.0,855.694,1013405361.0,855.694,840.8653999999995,1056838161.2,901.76,85509.2,901.76,907.1480000000004,60571.371999999974,2265.34,31346.74,2265.34,2294.42,33685.979999999996,1452.92,22720.88,1452.92,1478.8480000000006,21535.872000000003,864.4,2033.72,864.4,871.5359999999998,2072.2120000000004,1479.1097,395.9,1479.1097,1486.1391000000003,378.576
2013-02-26,145.8978,229533910000.0,145.8978,145.87842,251199040000.0,2567.595,8000306500.0,2567.595,2616.4685999999992,7280944400.0,3533.204,4338675800.0,3533.204,3572.9682000000003,4426264620.0,2729.062,12338982300.0,2729.062,2775.9918000000007,11707209000.0,1865.129,3688458000.0,1865.129,1903.1136,3180369760.0,851.217,1187181401.0,851.217,847.1669999999995,1101884423.8,892.16,95053.5,892.16,904.2360000000002,72643.49599999997,2252.36,32268.28,2252.36,2281.3,34386.73999999999,1430.7,23402.08,1430.7,1463.1080000000009,22384.432,865.1,2043.3,865.1,866.7539999999999,2240.1160000000004,1481.3919,409.52,1481.3919,1481.4010400000004,410.78000000000003
2013-02-27,145.8624,213705000000.0,145.8624,145.89202,242668776000.0,2594.677,6322674300.0,2594.677,2594.8769999999995,7145091720.0,3535.896,3823497400.0,3535.896,3553.0724,4305917940.0,2751.537,10146171700.0,2751.537,2754.8340000000003,11451009640.0,1889.476,2866730900.0,1889.476,1885.3482,3165769700.0,846.09,1008014339.0,846.09,846.2123999999994,1087795115.6,894.22,57318.22,894.22,901.4320000000004,76658.79199999997,2266.59,37386.24,2266.59,2269.826,35561.87199999999,1439.93,25874.48,1439.93,1450.382000000001,23364.160000000003,874.63,1870.18,874.63,865.0939999999998,2225.7200000000003,1497.5962,437.06,1497.5962,1480.5976800000005,450.36800000000005
2013-02-28,145.8945,1295920000.0,145.8945,145.89079999999998,192899552000.0,2673.327,8692259500.0,2673.327,2607.432599999999,6870383940.0,3608.199,4606208900.0,3608.199,3562.6488000000004,4138927220.0,2828.576,13298468400.0,2828.576,2766.7736000000004,11009311140.0,1956.606,3961108600.0,1956.606,1897.0901999999999,3059990620.0,861.095,1035616457.0,861.095,850.5717999999995,1040447951.6,896.0,59738.72,896.0,899.4780000000003,76784.08799999996,2275.25,34007.32,2275.25,2268.0440000000003,32581.727999999985,1454.86,20939.26,1454.86,1447.6220000000012,22228.804000000004,870.08,1415.9,870.08,867.8219999999998,1844.0600000000006,1489.882,349.92,1489.882,1485.6735000000008,386.26800000000003
2013-03-01,145.8913,196848770000.0,145.8913,145.88924,182413260000.0,2668.836,7334375300.0,2668.836,2621.8789999999995,7133161960.0,3648.422,5017328200.0,3648.422,3582.6616000000004,4310684100.0,2832.271,12351703500.0,2832.271,2782.1528000000008,11443846060.0,1944.423,3248281400.0,1944.423,1909.2797999999998,3198342480.0,884.891,1369551022.0,884.891,859.7973999999995,1122753716.0,896.41,63255.32,896.41,896.1100000000002,72174.99199999997,2249.71,40707.76,2249.71,2261.85,35143.26799999999,1430.26,32869.08,1430.26,1441.7340000000013,25161.156000000006,859.26,1734.12,859.26,866.6939999999998,1819.4440000000002,1474.8189,338.34,1474.8189,1484.5597400000008,386.148
2013-03-04,145.9958,213447710000.0,145.9958,145.90836,170966262000.0,2545.715,11061910300.0,2545.715,2610.0299999999997,8282305180.0,3518.717,6458809000.0,3518.717,3568.8876000000005,4848903860.0,2708.661,17520719200.0,2708.661,2770.0214000000005,13131209020.0,1841.624,4813350100.0,1841.624,1899.4515999999999,3715585800.0,863.5,1380749503.0,863.5,861.3585999999996,1196222544.4,896.78,49386.14,896.78,895.1140000000001,64950.37999999997,2219.8,46800.96,2219.8,2252.7419999999997,38234.11199999999,1407.98,37040.24,1407.98,1432.7460000000015,28025.028000000002,861.34,1630.12,861.34,866.082,1738.7240000000002,1472.354,396.2,1472.354,1483.2086000000008,386.20799999999997
2013-03-05,146.0422,42770590000.0,146.0422,145.93724,133613598000.0,2622.807,8966115200.0,2622.807,2621.0724,8475466920.0,3597.922,5038021500.0,3597.922,3581.8311999999996,4988773000.0,2785.692,14004136700.0,2785.692,2781.3474000000006,13464239900.0,1916.709,4024232100.0,1916.709,1909.7676,3782740620.0,888.099,1077658180.0,888.099,868.7349999999997,1174317900.2,900.33,60978.74,900.33,896.7480000000002,58135.42799999997,2236.96,32216.5,2236.96,2249.6619999999994,38223.75599999999,1424.17,25839.82,1424.17,1431.4400000000014,28512.576,867.12,1851.16,867.12,866.4859999999999,1700.2960000000003,1476.5078,360.1,1476.5078,1482.2317800000008,376.32399999999996
